                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6361,                 4.2852,                 2.3159,                 1.4861,                0.33292,                0.17694,                0.18176,                0.11062,                0.29274,                0.08756,                0.07443,                0.03047,                 1.8596,                   9.23,                 2.5935,                 1.6318,                0.06744,             0.00032889,             0.00032889
                      1,                 1.5093,                 3.7915,                 1.6813,                 1.4374,                0.35289,                 0.2104,                  0.212,                0.12852,                0.31751,                0.14781,                 0.1337,                0.05885,                 1.7123,                 4.2877,                 1.8838,                 1.5503,               0.034414,             0.00063576,             0.00063576
                      2,                 1.4645,                  3.718,                 1.5962,                 1.4132,                0.32866,                0.26151,                0.23583,                 0.1519,                0.28252,                0.15475,                0.13441,                 0.0732,                 1.6379,                  4.191,                 1.7405,                 1.5195,              0.0013604,             0.00091599,             0.00091599
                      3,                 1.4627,                  3.663,                 1.5492,                 1.4087,                0.31584,                0.26235,                0.23844,                 0.1592,                 0.2483,                 0.1868,                0.16019,                 0.0843,                 1.6272,                 3.8757,                 1.7389,                 1.4826,             0.00088012,             0.00088012,             0.00088012
                      4,                 1.4346,                 3.6082,                   1.49,                 1.3941,                0.43806,                0.27395,                0.25943,                0.16474,                0.48284,                0.16587,                0.16686,                0.08204,                 1.5909,                 3.9076,                 1.6252,                 1.4703,             0.00088012,             0.00088012,             0.00088012
                      5,                 1.4084,                 3.5243,                 1.4551,                 1.3795,                0.39575,                0.25369,                0.26396,                0.16714,                0.31782,                 0.2011,                0.18491,                0.10151,                 1.5851,                 3.6286,                 1.6627,                 1.4481,             0.00084016,             0.00084016,             0.00084016
                      6,                 1.4057,                 3.5327,                 1.4236,                  1.368,                0.44717,                0.28557,                0.27805,                 0.1835,                 0.4426,                 0.1916,                0.19272,                0.10846,                 1.5889,                 3.6186,                 1.5855,                 1.4498,              0.0008002,              0.0008002,              0.0008002
                      7,                 1.3956,                 3.4872,                  1.414,                 1.3704,                0.51901,                0.27579,                0.27515,                 0.1812,                0.46595,                0.18634,                0.18155,                0.10253,                 1.5583,                  3.569,                 1.5879,                 1.4428,             0.00076024,             0.00076024,             0.00076024
                      8,                 1.3588,                 3.4853,                 1.3723,                 1.3534,                0.47118,                0.28786,                0.28039,                0.18592,                0.42034,                0.19149,                0.19039,                0.10634,                 1.5503,                 3.5141,                 1.5468,                 1.4265,             0.00072028,             0.00072028,             0.00072028
                      9,                 1.3607,                  3.454,                  1.361,                 1.3455,                0.48506,                0.27151,                0.28352,                0.18553,                0.42948,                0.19939,                0.19064,                0.10935,                 1.5396,                 3.4893,                 1.5636,                 1.4077,             0.00068032,             0.00068032,             0.00068032
                     10,                 1.3543,                 3.4109,                 1.3474,                 1.3375,                0.61555,                0.28201,                0.29731,                0.19309,                0.52093,                0.21024,                0.20248,                0.11558,                 1.5337,                 3.4634,                 1.4795,                 1.3903,             0.00064036,             0.00064036,             0.00064036
