                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.835,                 4.5452,                 3.3231,                 1.5788,                0.68807,                0.16141,                0.17795,                0.12727,                0.62643,                0.11747,                0.11679,                0.05993,                 1.6218,                 3.8606,                 2.4566,                 1.4587,                 0.0704,              0.0032889,              0.0032889
                      1,                 1.4849,                 3.8327,                 1.7779,                 1.3937,                0.52095,                0.22649,                0.23241,                0.15918,                0.45394,                0.15126,                0.14944,                0.07989,                 1.5457,                 3.7265,                 1.7158,                 1.4021,               0.040138,                0.00636,                0.00636
                      2,                 1.4085,                 3.6841,                 1.5692,                 1.3475,                0.51286,                0.25805,                0.26121,                0.17195,                0.43813,                0.18436,                0.17439,                0.09622,                 1.5415,                 3.5918,                 1.6195,                 1.3799,              0.0096115,              0.0091671,              0.0091671
                      3,                 1.4008,                 3.6249,                 1.4783,                 1.3399,                0.41291,                0.26325,                0.26938,                0.18263,                 0.3921,                0.19734,                0.18826,                0.10236,                 1.5466,                 3.6099,                 1.5781,                 1.3881,               0.008812,               0.008812,               0.008812
                      4,                 1.3731,                 3.5388,                 1.4088,                  1.321,                0.46475,                0.27163,                0.28004,                0.18107,                0.40161,                0.19215,                0.18862,                0.09974,                 1.5564,                  3.544,                 1.5846,                 1.3958,               0.008812,               0.008812,               0.008812
                      5,                 1.3493,                 3.4442,                 1.3882,                 1.3184,                0.48632,                0.25643,                0.28875,                0.19321,                0.41251,                0.21265,                0.20617,                0.11333,                  1.509,                 3.5284,                 1.5439,                 1.3701,               0.008416,               0.008416,               0.008416
                      6,                 1.3506,                 3.4663,                 1.3415,                 1.3039,                0.49205,                 0.2899,                0.29678,                0.20269,                 0.4051,                0.21746,                0.20622,                0.11508,                 1.4758,                  3.454,                 1.4482,                 1.3435,                0.00802,                0.00802,                0.00802
                      7,                 1.3417,                 3.4172,                 1.3174,                 1.3042,                0.52788,                0.28316,                 0.2936,                0.19938,                0.48964,                0.19759,                0.20101,                0.11294,                 1.4975,                 3.4311,                 1.4732,                 1.3471,               0.007624,               0.007624,               0.007624
                      8,                 1.3053,                 3.3902,                 1.2896,                 1.2928,                0.53697,                0.30296,                0.30562,                0.20566,                0.46777,                0.21576,                0.20832,                 0.1189,                 1.4683,                 3.3951,                 1.4212,                 1.3269,               0.007228,               0.007228,               0.007228
                      9,                 1.3077,                 3.3679,                 1.2661,                 1.2911,                0.50669,                 0.2926,                0.30322,                0.20841,                0.48694,                 0.2083,                0.20457,                0.11631,                 1.4367,                 3.3793,                 1.4036,                 1.3214,               0.006832,               0.006832,               0.006832
                     10,                 1.2986,                 3.3264,                  1.262,                 1.2845,                0.52594,                0.27975,                0.29713,                0.20202,                 0.5024,                0.20978,                0.21597,                0.11853,                 1.4796,                   3.41,                 1.4354,                  1.344,               0.006436,               0.006436,               0.006436
                     11,                 1.2775,                 3.2849,                 1.2176,                 1.2681,                0.56065,                0.29297,                0.31542,                0.21717,                0.47558,                0.21491,                0.21351,                0.12056,                 1.4207,                  3.332,                  1.375,                 1.3039,                0.00604,                0.00604,                0.00604
                     12,                 1.2564,                 3.2526,                  1.193,                 1.2546,                 0.5371,                0.30462,                0.32519,                0.21969,                0.53223,                0.22925,                0.22493,                0.12766,                 1.4241,                 3.3062,                 1.3625,                 1.2958,               0.005644,               0.005644,               0.005644
                     13,                 1.2501,                 3.2828,                 1.1863,                 1.2508,                0.50791,                0.31294,                0.33216,                0.22429,                0.45468,                0.22193,                0.22961,                0.12998,                 1.4142,                 3.3081,                 1.3393,                 1.2958,               0.005248,               0.005248,               0.005248
                     14,                 1.2378,                  3.223,                 1.1671,                 1.2496,                0.54977,                0.31476,                0.33009,                0.22436,                0.48074,                0.22918,                0.23115,                0.12896,                 1.4228,                 3.3158,                 1.3352,                 1.2969,               0.004852,               0.004852,               0.004852
                     15,                 1.4369,                 3.2617,                 1.3116,                 1.3085,                0.55384,                0.30501,                0.32606,                0.21867,                0.46185,                0.22742,                0.22926,                0.12972,                 1.3953,                 3.3246,                 1.3271,                 1.2789,               0.004456,               0.004456,               0.004456
                     16,                 1.4139,                 3.2616,                 1.2748,                 1.2937,                0.53205,                0.31334,                0.32965,                0.22382,                0.46815,                0.22805,                0.22889,                0.12995,                 1.3854,                 3.3108,                 1.3288,                 1.2683,                0.00406,                0.00406,                0.00406
                     17,                 1.3906,                 3.2039,                 1.2431,                 1.2726,                0.54818,                0.31263,                0.32641,                0.22199,                0.48042,                0.22468,                0.22524,                0.12968,                 1.3827,                 3.3002,                 1.3079,                 1.2614,               0.003664,               0.003664,               0.003664
                     18,                  1.407,                 3.2053,                 1.2538,                 1.2877,                0.54832,                0.30717,                0.33176,                0.22673,                0.45549,                0.22853,                0.22796,                0.13063,                 1.3749,                 3.3034,                    1.3,                 1.2567,               0.003268,               0.003268,               0.003268
                     19,                 1.3767,                  3.163,                 1.2151,                 1.2702,                0.55694,                0.30435,                0.33739,                0.23386,                0.45507,                0.23266,                0.23803,                0.13641,                  1.369,                 3.2825,                 1.2925,                 1.2506,               0.002872,               0.002872,               0.002872
                     20,                 1.3681,                 3.1415,                 1.1993,                 1.2643,                0.53408,                0.31383,                0.33668,                0.22839,                0.45192,                0.23525,                0.23265,                0.13267,                 1.3689,                 3.2767,                 1.2905,                 1.2511,               0.002476,               0.002476,               0.002476
                     21,                 1.3447,                 3.1168,                 1.1798,                  1.249,                0.53259,                0.31326,                0.33933,                0.22983,                0.44128,                0.23807,                0.23761,                0.13631,                  1.364,                 3.2599,                 1.2772,                 1.2511,                0.00208,                0.00208,                0.00208
                     22,                 1.3356,                 3.0755,                 1.1574,                 1.2431,                0.55598,                0.31278,                0.34279,                 0.2339,                0.44994,                0.23618,                0.23825,                0.13877,                 1.3607,                 3.2519,                 1.2591,                 1.2462,               0.001684,               0.001684,               0.001684
                     23,                 1.3265,                 3.0702,                 1.1524,                 1.2372,                0.56474,                0.31345,                0.34312,                0.23348,                0.48479,                0.23173,                0.24346,                0.14111,                 1.3585,                 3.2472,                  1.252,                 1.2408,               0.001288,               0.001288,               0.001288
                     24,                 1.3165,                 3.0401,                 1.1368,                 1.2369,                0.55045,                0.32302,                0.34314,                0.23512,                0.44499,                0.24225,                0.24241,                0.14066,                 1.3516,                 3.2335,                 1.2432,                  1.239,               0.000892,               0.000892,               0.000892
