                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2199,                 2.6082,                 1.1672,                0.98788,                0.54659,                0.30419,                0.33985,                0.19862,                0.46773,                0.25579,                0.25381,                0.10947,                 1.4015,                 4.3192,                 1.0826,                  1.067,               0.067355,             0.00032975,             0.00032975
                      1,                 1.2017,                 2.4092,                0.82375,                0.98261,                0.56547,                 0.3659,                0.39173,                0.24709,                0.51456,                0.32728,                0.33032,                0.16746,                 1.2721,                 2.8691,                0.88631,                 1.0095,               0.034328,             0.00063659,             0.00063659
                      2,                 1.2007,                 2.4036,                0.81127,                0.98487,                0.63424,                0.31174,                0.37657,                0.22861,                0.61706,                0.26635,                0.32065,                0.15504,                 1.2875,                 2.7869,                 0.9511,                 1.0237,              0.0012752,             0.00091678,             0.00091678
                      3,                 1.1983,                 2.3611,                0.80873,                0.98662,                0.50465,                0.40799,                0.41051,                0.25408,                0.46223,                0.37283,                0.35768,                0.18209,                 1.2528,                 2.6282,                0.91307,                 1.0107,             0.00088012,             0.00088012,             0.00088012
                      4,                  1.178,                 2.3553,                0.78289,                0.97923,                0.56613,                0.39847,                0.43493,                 0.2727,                0.53745,                0.36066,                0.38887,                0.20517,                 1.2463,                 2.6331,                 0.8674,                 1.0054,             0.00088012,             0.00088012,             0.00088012
                      5,                  1.172,                 2.3275,                0.77785,                0.97991,                0.65888,                0.39092,                0.45422,                0.28488,                0.62535,                0.35098,                0.39543,                 0.2071,                 1.2167,                 2.5601,                0.82938,                0.99282,             0.00084016,             0.00084016,             0.00084016
                      6,                  1.148,                 2.2787,                0.74824,                0.96798,                0.58776,                0.43305,                0.45058,                0.28256,                0.54734,                0.40175,                0.40307,                0.21143,                 1.1841,                 2.4651,                  0.798,                0.98223,              0.0008002,              0.0008002,              0.0008002
                      7,                 1.1297,                 2.2371,                0.73618,                0.96356,                0.56149,                0.43141,                0.43411,                0.27065,                0.52059,                 0.3869,                0.38216,                0.19744,                 1.1828,                 2.4672,                0.79576,                0.98093,             0.00076024,             0.00076024,             0.00076024
                      8,                 1.1104,                 2.2117,                0.71812,                0.95501,                0.54625,                0.45708,                0.46057,                0.28808,                0.50511,                 0.4099,                0.40357,                0.21287,                 1.1682,                 2.4317,                0.78771,                0.98027,             0.00072028,             0.00072028,             0.00072028
                      9,                 1.1025,                 2.2152,                0.71242,                0.95441,                0.65889,                0.42516,                0.47268,                0.30429,                0.62859,                0.38088,                0.40953,                0.21505,                 1.1664,                 2.4341,                0.77248,                0.97414,             0.00068032,             0.00068032,             0.00068032
                     10,                 1.0946,                 2.1975,                0.69654,                0.95161,                0.63358,                0.43767,                0.48494,                0.31062,                0.61903,                0.37473,                0.41792,                0.22622,                  1.147,                 2.3867,                0.75335,                0.97192,             0.00064036,             0.00064036,             0.00064036
                     11,                 1.0833,                 2.1578,                 0.6914,                0.94505,                0.58194,                0.46793,                0.49188,                0.31486,                0.54458,                0.43339,                0.44511,                0.24039,                 1.1453,                 2.3503,                0.73894,                0.96743,              0.0006004,              0.0006004,              0.0006004
                     12,                 1.0804,                 2.1256,                0.67912,                0.94527,                0.68297,                0.44172,                0.49861,                0.32276,                0.68158,                0.40138,                0.44642,                0.24383,                 1.1188,                 2.3263,                0.73874,                  0.965,             0.00056044,             0.00056044,             0.00056044
                     13,                 1.0598,                 2.1159,                0.66574,                 0.9402,                 0.6667,                 0.4548,                0.50451,                0.32473,                0.66908,                0.41131,                0.45375,                0.24516,                 1.1252,                 2.3208,                0.72778,                0.96142,             0.00052048,             0.00052048,             0.00052048
