                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1512,                 2.4237,                 1.1201,                0.96468,                0.63108,                0.40978,                0.45082,                0.30091,                0.60431,                0.37339,                0.40449,                0.22577,                 1.1436,                  2.461,                0.82255,                0.95911,               0.070161,              0.0033154,              0.0033154
                      1,                 1.1427,                 2.3068,                0.79953,                0.94922,                0.66539,                0.39938,                0.46032,                 0.3034,                 0.6257,                0.36881,                 0.4138,                0.23409,                  1.177,                 2.4769,                0.86866,                0.96489,               0.039898,              0.0063855,              0.0063855
                      2,                 1.2016,                  2.381,                0.83399,                0.96557,                0.64437,                0.39812,                 0.4467,                0.27579,                0.60378,                0.36152,                0.39031,                0.20746,                 1.2305,                 2.6094,                0.83773,                0.97973,              0.0093707,              0.0091915,              0.0091915
                      3,                 1.2237,                 2.3946,                0.82724,                 0.9715,                0.62878,                0.40406,                0.44483,                0.28428,                0.59235,                 0.3748,                0.40314,                0.22474,                 1.2409,                 2.5504,                0.86318,                0.98381,               0.008812,               0.008812,               0.008812
                      4,                 1.2138,                 2.3607,                0.80402,                0.97528,                0.61772,                0.37789,                0.41465,                0.26221,                0.60605,                0.34765,                0.37641,                0.19834,                 1.2626,                 2.5838,                0.86554,                0.99347,               0.008812,               0.008812,               0.008812
                      5,                 1.1899,                 2.3276,                0.78534,                0.97018,                0.64703,                0.40374,                0.45572,                0.29304,                0.63885,                0.36793,                0.40889,                0.22215,                  1.208,                 2.5454,                0.81927,                0.98583,               0.008416,               0.008416,               0.008416
                      6,                 1.1688,                 2.2989,                0.76641,                0.96301,                 0.6398,                0.39924,                0.45001,                0.28413,                0.62508,                0.36191,                 0.4006,                0.21617,                 1.2177,                 2.5061,                0.81307,                0.97992,                0.00802,                0.00802,                0.00802
                      7,                 1.1565,                  2.254,                0.74757,                0.95813,                0.66141,                0.42454,                0.47688,                0.30912,                0.63935,                 0.3856,                0.43001,                0.23096,                 1.1801,                 2.4428,                0.78599,                0.96697,               0.007624,               0.007624,               0.007624
                      8,                 1.1325,                  2.231,                0.72913,                0.95024,                0.61834,                0.45425,                0.48113,                0.31087,                0.58539,                0.42508,                 0.4383,                0.23913,                 1.1729,                 2.4472,                0.78514,                0.96856,               0.007228,               0.007228,               0.007228
                      9,                 1.1187,                 2.2228,                0.72326,                0.94912,                0.66295,                0.41372,                0.47649,                0.31213,                 0.6282,                0.37959,                0.42246,                0.23782,                 1.1635,                 2.4203,                0.78326,                 0.9638,               0.006832,               0.006832,               0.006832
