                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5697,                 3.4955,                 1.6551,                 1.2608,                0.49085,                0.23545,                0.24978,                0.13757,                0.24408,                0.10725,                0.06781,                0.02417,                 1.5133,                 6.3779,                 1.4429,                 1.2548,               0.067264,             0.00033067,             0.00033067
                      1,                 1.5067,                 3.2764,                 1.2459,                 1.2215,                0.49633,                0.33057,                0.28822,                0.15632,                 0.4558,                0.21411,                0.17902,                0.06656,                 1.4727,                  4.033,                 1.3394,                 1.2549,                0.03422,             0.00061978,             0.00061978
                      2,                 1.4962,                 3.2101,                 1.2217,                 1.2279,                0.53688,                0.30392,                0.31346,                0.17086,                0.41712,                0.22827,                0.20902,                0.09089,                 1.4567,                 3.2909,                 1.3018,                 1.2323,              0.0011312,             0.00086449,             0.00086449
                      3,                 1.4849,                 3.1714,                  1.195,                 1.2195,                0.52126,                0.33685,                0.33002,                0.18457,                0.45742,                0.29018,                 0.2621,                0.12082,                 1.3881,                 3.0476,                  1.164,                 1.2076,              0.0008002,              0.0008002,              0.0008002
                      4,                 1.4536,                 3.1743,                 1.1575,                 1.2063,                0.55333,                0.34859,                0.34827,                0.19822,                0.50152,                0.29002,                0.26682,                0.12156,                 1.4104,                 3.0529,                 1.1251,                 1.1996,              0.0008002,              0.0008002,              0.0008002
                      5,                 1.4841,                 3.2015,                 1.1599,                 1.2219,                0.55874,                0.30843,                0.33662,                0.18921,                0.52123,                0.25068,                0.26434,                0.11978,                 1.4199,                 2.9639,                 1.1309,                 1.2024,              0.0007336,              0.0007336,              0.0007336
                      6,                 1.4521,                 3.1387,                 1.1137,                 1.2007,                0.59766,                0.34002,                0.36231,                0.20494,                0.52698,                0.28829,                0.28256,                0.12719,                 1.3689,                 2.9273,                 1.0709,                 1.1878,               0.000667,               0.000667,               0.000667
                      7,                 1.4362,                  3.112,                 1.0981,                 1.1952,                0.56921,                0.34004,                0.35087,                0.20019,                0.53337,                0.28734,                 0.2805,                0.12733,                 1.3552,                 2.8823,                 1.0678,                 1.1692,              0.0006004,              0.0006004,              0.0006004
                      8,                  1.412,                 3.0701,                 1.0663,                 1.1824,                0.57873,                0.35028,                0.36376,                0.20949,                  0.521,                0.29993,                 0.2915,                 0.1378,                 1.3319,                 2.8888,                  1.063,                 1.1626,              0.0005338,              0.0005338,              0.0005338
                      9,                 1.3839,                 3.0333,                 1.0366,                 1.1659,                0.59731,                0.37064,                0.38792,                 0.2252,                0.53007,                0.32495,                0.31337,                0.14528,                 1.3196,                 2.8455,                 1.0219,                 1.1491,              0.0004672,              0.0004672,              0.0004672
                     10,                 1.3645,                 2.9967,                 1.0111,                 1.1566,                0.60658,                0.37812,                0.39384,                0.23141,                0.53531,                0.32618,                0.31463,                0.15084,                 1.3018,                 2.8142,                 1.0086,                 1.1382,              0.0004006,              0.0004006,              0.0004006
                     11,                 1.3498,                 2.9612,                0.99145,                 1.1478,                0.63987,                0.38951,                0.40833,                0.23839,                0.56781,                0.33516,                0.32442,                0.15484,                 1.2907,                 2.7818,                0.97237,                 1.1328,               0.000334,               0.000334,               0.000334
                     12,                 1.3326,                 2.9253,                0.97478,                 1.1416,                0.63904,                 0.3716,                0.40306,                0.23469,                0.58373,                0.32038,                0.32455,                0.15174,                 1.2759,                 2.7586,                0.95856,                 1.1273,              0.0002674,              0.0002674,              0.0002674
                     13,                 1.3129,                 2.8906,                0.95119,                 1.1312,                0.68297,                0.37468,                0.42724,                0.25496,                 0.6262,                0.32915,                 0.3462,                0.16669,                 1.2693,                 2.7638,                0.95245,                 1.1214,              0.0002008,              0.0002008,              0.0002008
                     14,                 1.2893,                 2.8594,                0.92635,                 1.1209,                0.69005,                0.38141,                0.42973,                0.25897,                0.63452,                0.33508,                0.35949,                0.17109,                 1.2561,                  2.725,                0.92614,                 1.1182,              0.0001342,              0.0001342,              0.0001342
